movie_id,title,revenue,vote_average,vote_count,watch_providers,genres,budget,runtime,original_language,adult,shooting_format,release_year,number_screens_release,overview,movie_script,script_writer,distributors,director,producers,main_cast
1138749,The Island,39773,6.2,74,"Amazon Prime Video, Amazon Prime Video with Ads","Action, Crime, Thriller",0,93,en,False,,2023,,"When his brother is killed, LAPD officer Mark leaves the city to return to the island he grew up on. Seeking answers and ultimately vengeance, he soon finds himself in a bloody battle with the corrupt tycoon who's taken over the island paradise.",,,MSR Media SKN,Shaun Paul Piccinino,Philippe Martinez,"Michael Jai White, Jackson Rathbone, Gillian White"
1029575,The Family Plan,0,7.269,1511,"Apple TV+, Apple TV Plus Amazon Channel","Action, Comedy, Family",0,118,en,False,,2023,,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",,,"Municipal Pictures, Skydance Media",Simon Cellan Jones,"Stephen Levinson, Mark Wahlberg, David Ellison, Dana Goldberg, Don Granger","Mark Wahlberg, Michelle Monaghan, Maggie Q"
1359977,Conjuring the Cult,0,4.231,13,"Amazon Prime Video, Amazon Prime Video with Ads","Horror, Drama",0,93,en,False,,2024,,"After discovering his blood-soaked daughter dead in the bathtub, David Bryson attends a self-help group to help save him from his ghostly nightmares. But when a group of mysterious cult-like women offer to help him resurrect his daughter. David's choices will not just decide his fate... but the fate of his dead daughter's SOUL.",,,7th Street Productions,Calvin Morie McCarthy,,"Neil Green, Elissa Dowling, Chynna Rae Shurts"
1356236,Saint Catherine,0,6.463,27,,Horror,0,86,en,False,,2024,,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.,,,Black Mandala,Gonzalo Mellid,Nicolás Onetti,"Raymond E. Lee, Pachi Lucas, Julia Kraiselburd"
1241982,Moana 2,1059544057,7.076,2342,Disney Plus,"Animation, Adventure, Family, Comedy",150000000,100,en,False,,2024,,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",,,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios","David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Yvett Merino Flores, Christina Chen","Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung"
974576,Conclave,115657988,7.207,2425,"Amazon Prime Video, Amazon Prime Video with Ads","Drama, Thriller, Mystery",20000000,120,en,False,,2024,,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",,,"FilmNation Entertainment, Indian Paintbrush, House Productions",Edward Berger,"Alice Dawson, Tessa Ross, Michael Jackman, Robert Harris, Juliette Howell","Ralph Fiennes, Stanley Tucci, John Lithgow"
1136721,The Glenarma Tapes,0,6.1,12,,Horror,0,96,en,False,,2024,,In Spring 2020 when five students and two faculty members from the Mid Ulster College of Art go missing in a forest on the north coast of Ireland. What happened on the day they disappeared has remained a mystery - until now.,,,Village Films,Tony Devlin,,"Warren McCook, Emily Lamey, Rían Early"
939243,Sonic the Hedgehog 3,486018457,7.725,2525,,"Action, Science Fiction, Comedy, Family",122000000,110,en,False,,2024,,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",,,"Paramount Pictures, Original Film, Marza Animation Planet, SEGA, Blur Studio, SEGA of America",Jeff Fowler,"Neal H. Moritz, Toru Nakahara, Toby Ascher, Hitoshi Okuno","Jim Carrey, Ben Schwartz, Keanu Reeves"
762509,Mufasa: The Lion King,721046090,7.408,2084,Disney Plus,"Adventure, Family, Animation",200000000,118,en,False,,2024,,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",,,Walt Disney Pictures,Barry Jenkins,"Adele Romanski, Mark Ceryak","Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone"
1189423,The Sloth Lane,349698,6.5,16,,"Animation, Family",0,90,en,False,,2024,,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.",,,"Like A Photon Creative, Universal Pictures (Australasia), Cosmic Dino Studio, Eclectik Vision, Alceon Entertainment Partners",Tania Vincent,"Kristen Souvlis, Nadine Bates, Ryan Greaves","Teo Vergara, Olivia Vasquez, Benjamín Gorroño"
